Time (ms),Voltage (V),Current (A),Temperature (°C),Motor Speed (RPM),Hall Code,Estimated SOC (%),Ground Truth SOC (%),Residual (%),Fault Label
10200,3.57,3.93,31.4,1331,000,86.5,86.9,0.4,Normal
10300,3.52,3.43,35.2,1192,001,91.7,89.60000000000001,2.1,Warning
10400,3.58,3.69,32.2,1317,101,96.0,97.0,1.0,Normal
10500,3.64,1.32,39.3,1377,001,87.6,89.39999999999999,1.8,Warning
10600,3.79,4.81,34.9,1128,001,89.3,90.2,0.9,Normal
10700,3.62,4.35,38.6,1176,101,98.0,94.4,3.6,Fault
10800,3.63,4.22,17.5,1108,100,98.3,99.3,1.0,Normal
10900,3.59,4.29,30.5,1123,101,85.7,84.7,1.0,Normal
11000,3.41,4.73,28.4,1114,100,87.5,85.7,1.8,Warning
11100,3.6,3.18,29.4,1263,101,86.8,87.7,0.9,Normal
11200,3.61,1.8,26.0,1112,000,87.7,88.60000000000001,0.9,Normal
11300,3.85,3.47,32.0,1271,100,99.6,98.8,0.8,Normal
11400,3.58,3.97,21.0,1299,000,93.3,92.5,0.8,Normal
11500,3.63,3.95,32.0,1175,110,92.0,89.5,2.5,Warning
11600,3.6,3.09,26.1,1263,100,99.8,100.5,0.7,Normal
11700,3.48,1.27,27.5,1160,100,93.4,93.5,0.1,Normal
11800,3.71,2.48,32.2,1344,101,94.9,90.10000000000001,4.8,Fault
11900,3.68,4.68,30.4,1254,100,90.0,92.2,2.2,Warning
12000,3.68,3.34,35.3,1356,000,90.7,93.2,2.5,Warning
12100,3.51,3.15,25.2,1343,111,93.9,95.5,1.6,Warning
12200,3.74,2.08,29.6,1261,110,86.0,83.8,2.2,Warning
12300,3.46,2.47,34.4,1167,111,88.8,89.0,0.2,Normal
12400,3.66,4.58,31.8,1376,101,88.0,88.2,0.2,Normal
12500,3.82,3.67,32.1,1260,010,85.2,86.10000000000001,0.9,Normal
12600,3.5,4.15,35.5,1358,110,93.1,91.19999999999999,1.9,Warning
12700,3.54,2.82,28.0,1194,111,93.4,95.0,1.6,Warning
12800,3.61,3.52,26.9,1345,110,90.8,91.2,0.4,Normal
12900,3.55,1.99,32.9,1320,111,89.0,89.9,0.9,Normal
13000,3.44,3.82,29.3,1222,000,94.8,98.3,3.5,Fault
13100,3.61,2.71,35.6,1286,111,87.0,87.2,0.2,Normal
13200,3.49,2.77,31.8,1361,110,92.8,92.39999999999999,0.4,Normal
13300,3.65,3.6,26.9,1372,010,96.5,97.2,0.7,Normal
13400,3.51,4.75,31.7,1159,001,87.5,87.4,0.1,Normal
13500,3.75,1.26,25.5,1224,101,96.3,96.2,0.1,Normal
13600,3.52,4.3,34.7,1150,001,96.4,96.10000000000001,0.3,Normal
13700,3.57,2.17,23.0,1277,101,85.9,87.0,1.1,Warning
13800,3.68,2.78,36.1,1238,110,85.3,86.5,1.2,Warning
13900,3.48,1.09,31.6,1269,101,99.6,99.0,0.6,Normal
14000,3.62,2.2,29.2,1138,111,87.9,89.60000000000001,1.7,Warning
14100,3.73,3.01,33.8,1168,000,97.3,97.1,0.2,Normal
14200,3.44,1.22,32.6,1335,010,93.4,90.4,3.0,Warning
14300,3.62,2.96,36.7,1147,101,89.0,88.6,0.4,Normal
14400,3.63,4.71,36.6,1156,010,86.9,89.10000000000001,2.2,Warning
14500,3.68,1.42,31.8,1376,101,92.5,91.7,0.8,Normal
14600,3.48,4.06,25.6,1198,010,91.1,89.39999999999999,1.7,Warning
14700,3.47,2.64,27.3,1114,001,95.5,96.2,0.7,Normal
14800,3.65,3.62,29.6,1278,000,98.6,98.5,0.1,Normal
14900,3.63,2.04,35.4,1161,101,97.1,97.89999999999999,0.8,Normal
15000,3.63,1.64,27.7,1218,011,89.1,89.3,0.2,Normal
15100,3.63,1.64,28.1,1136,010,98.2,98.7,0.5,Normal
15200,3.53,1.28,39.2,1233,010,97.5,96.3,1.2,Warning
15300,3.62,1.74,29.5,1125,111,98.9,95.9,3.0,Warning
15400,3.63,3.66,26.8,1107,011,91.9,91.30000000000001,0.6,Normal
15500,3.53,4.53,33.9,1103,000,96.5,98.3,1.8,Warning
15600,3.79,4.26,29.7,1120,010,93.9,89.60000000000001,4.3,Fault
15700,3.65,3.74,23.1,1248,000,89.7,88.3,1.4,Warning
15800,3.48,1.44,35.2,1124,010,99.9,98.2,1.7,Warning
15900,3.67,2.16,26.3,1242,110,85.6,85.19999999999999,0.4,Normal
16000,3.5,2.24,30.2,1344,100,87.4,86.60000000000001,0.8,Normal
16100,3.68,2.0,29.7,1142,110,98.4,98.4,0.0,Normal
16200,3.72,3.06,31.2,1392,010,85.9,84.0,1.9,Warning
16300,3.52,3.14,19.0,1284,100,98.3,98.5,0.2,Normal
16400,3.7,2.43,28.3,1141,101,95.7,94.5,1.2,Warning
16500,3.64,2.42,35.6,1191,000,85.6,83.6,2.0,Warning
16600,3.68,4.31,36.3,1152,010,91.4,89.0,2.4,Warning
16700,3.79,4.16,25.0,1183,111,96.3,94.3,2.0,Warning
16800,3.58,2.23,34.6,1133,001,93.7,94.7,1.0,Normal
16900,3.52,4.66,26.2,1175,111,99.0,96.1,2.9,Warning
17000,3.51,4.81,28.1,1296,001,98.0,96.5,1.5,Warning
17100,3.52,2.31,28.4,1385,011,90.0,89.0,1.0,Normal
17200,3.59,2.42,30.5,1187,001,86.3,85.2,1.1,Warning
17300,3.63,3.02,35.0,1334,100,99.2,98.9,0.3,Normal
17400,3.63,4.76,31.3,1331,001,92.8,93.0,0.2,Normal
17500,3.68,4.51,29.4,1106,001,86.1,86.19999999999999,0.1,Normal
17600,3.6,1.41,34.8,1391,001,97.2,94.8,2.4,Warning
17700,3.75,2.57,26.0,1137,010,98.0,97.4,0.6,Normal
17800,3.57,3.21,29.6,1151,011,94.6,93.69999999999999,0.9,Normal
17900,3.87,3.01,35.0,1242,000,91.7,91.10000000000001,0.6,Normal
18000,3.66,1.78,32.6,1320,011,94.9,95.4,0.5,Normal
18100,3.51,4.44,27.7,1339,111,95.6,98.3,2.7,Warning
18200,3.49,3.71,22.4,1242,100,98.4,96.7,1.7,Warning
18300,3.65,4.35,31.6,1148,010,99.3,97.8,1.5,Warning
18400,3.58,4.44,22.1,1376,101,92.7,92.2,0.5,Normal
18500,3.67,3.99,28.9,1370,010,97.0,98.1,1.1,Warning
18600,3.65,2.76,35.9,1113,110,99.5,96.3,3.2,Fault
18700,3.59,3.44,33.0,1397,001,87.3,87.3,0.0,Normal
18800,3.52,1.64,19.9,1114,111,85.3,84.39999999999999,0.9,Normal
18900,3.45,3.69,31.0,1333,001,98.0,98.6,0.6,Normal
19000,3.56,1.72,28.4,1162,100,87.9,89.4,1.5,Warning
19100,3.69,3.78,23.6,1295,101,85.6,84.19999999999999,1.4,Warning
19200,3.62,1.92,31.7,1126,111,87.4,89.2,1.8,Warning
19300,3.48,1.47,27.5,1192,110,90.8,90.0,0.8,Normal
19400,3.62,1.66,27.6,1204,010,88.3,87.5,0.8,Normal
19500,3.64,1.01,30.6,1151,101,89.6,90.8,1.2,Warning
19600,3.51,3.87,26.9,1280,000,99.6,101.0,1.4,Warning
19700,3.62,3.93,30.5,1156,011,95.6,96.3,0.7,Normal
19800,3.61,3.06,27.0,1219,010,95.7,96.10000000000001,0.4,Normal
19900,3.49,1.65,27.3,1142,101,86.4,88.2,1.8,Warning
20000,3.64,1.33,35.0,1234,000,96.0,97.2,1.2,Warning
20100,3.66,1.08,35.5,1359,000,96.1,95.5,0.6,Normal
20200,3.71,1.66,21.5,1296,110,94.9,91.4,3.5,Fault
20300,3.71,4.56,33.7,1232,110,88.4,86.4,2.0,Warning
20400,3.46,1.97,37.0,1354,011,91.3,90.6,0.7,Normal
20500,3.51,2.42,37.8,1319,000,97.7,95.5,2.2,Warning
20600,3.65,1.42,32.6,1140,111,95.1,92.89999999999999,2.2,Warning
20700,3.65,1.89,24.7,1354,100,96.0,96.0,0.0,Normal
20800,3.65,3.08,33.1,1101,000,93.8,92.89999999999999,0.9,Normal
20900,3.99,3.43,25.7,1294,101,91.7,89.7,2.0,Warning
21000,3.66,1.98,28.3,1341,110,96.4,94.2,2.2,Warning
21100,3.71,1.23,31.9,1248,100,86.0,83.8,2.2,Warning
21200,3.7,2.56,26.0,1297,111,95.1,96.1,1.0,Normal
21300,3.67,1.94,24.3,1398,110,100.0,97.7,2.3,Warning
21400,3.57,1.88,32.3,1344,111,96.7,93.4,3.3,Fault
21500,3.68,4.84,39.3,1207,110,89.4,86.7,2.7,Warning
21600,3.52,3.47,36.2,1311,110,89.2,90.3,1.1,Warning
21700,3.58,3.23,33.5,1255,000,95.0,96.5,1.5,Warning
21800,3.55,2.66,34.9,1125,001,98.4,97.2,1.2,Warning
21900,3.61,2.72,33.2,1181,000,93.7,91.0,2.7,Warning
22000,3.83,3.16,32.2,1182,110,92.9,92.10000000000001,0.8,Normal
22100,3.41,3.79,34.5,1230,100,87.4,87.30000000000001,0.1,Normal
22200,3.67,3.81,23.2,1199,000,95.7,95.3,0.4,Normal
22300,3.44,1.69,31.0,1355,110,95.5,93.5,2.0,Warning
22400,3.55,3.0,29.6,1148,110,99.5,99.5,0.0,Normal
22500,3.71,2.65,30.4,1162,000,89.5,88.3,1.2,Warning
22600,3.61,4.48,27.7,1389,000,96.3,96.0,0.3,Normal
22700,3.49,3.53,32.6,1204,100,91.5,92.3,0.8,Normal
22800,3.53,3.13,25.9,1204,111,93.4,94.4,1.0,Normal
22900,3.67,1.46,27.3,1114,000,97.2,95.9,1.3,Warning
23000,3.53,3.42,26.7,1274,011,88.3,91.89999999999999,3.6,Fault
23100,3.62,1.47,34.3,1358,101,90.1,88.89999999999999,1.2,Warning
23200,3.6,2.35,29.9,1310,011,96.6,96.39999999999999,0.2,Normal
23300,3.53,1.57,27.7,1358,100,93.6,91.69999999999999,1.9,Warning
23400,3.81,3.77,28.1,1201,001,86.4,85.0,1.4,Warning
23500,3.66,1.83,30.0,1359,011,91.5,90.9,0.6,Normal
23600,3.4,2.57,38.1,1258,111,93.8,94.89999999999999,1.1,Warning
23700,3.62,4.58,23.8,1144,110,98.6,99.6,1.0,Normal
23800,3.53,1.82,33.4,1350,101,87.8,88.3,0.5,Normal
23900,3.69,3.03,32.4,1264,010,97.1,95.3,1.8,Warning
24000,3.52,2.68,25.6,1292,101,87.0,83.8,3.2,Fault
24100,3.59,1.07,37.3,1108,011,88.6,87.6,1.0,Normal
24200,3.65,4.17,32.7,1164,010,88.7,89.10000000000001,0.4,Normal
24300,3.69,1.28,27.5,1381,100,98.2,98.4,0.2,Normal
24400,3.48,2.9,20.7,1280,111,88.0,88.2,0.2,Normal
24500,3.57,3.24,31.1,1381,101,96.8,94.7,2.1,Warning
24600,3.55,3.51,29.8,1378,001,91.9,92.10000000000001,0.2,Normal
24700,3.53,3.75,24.8,1129,010,100.0,99.6,0.4,Normal
24800,3.78,2.01,24.8,1365,010,97.6,95.1,2.5,Warning
24900,3.64,1.04,34.3,1316,101,96.1,96.5,0.4,Normal
25000,3.47,3.89,20.2,1204,011,98.1,96.8,1.3,Warning
25100,3.69,3.14,31.6,1283,010,94.5,92.6,1.9,Warning
25200,3.81,4.34,29.1,1247,100,97.7,97.10000000000001,0.6,Normal
25300,3.7,4.29,32.5,1204,101,88.9,85.5,3.4,Fault
25400,3.45,4.37,28.5,1146,100,86.5,83.5,3.0,Warning
25500,3.55,2.94,31.5,1186,101,94.2,93.3,0.9,Normal
25600,3.73,2.33,26.3,1228,100,91.5,92.2,0.7,Normal
25700,3.53,4.17,29.8,1357,011,91.4,92.0,0.6,Normal
25800,3.64,2.81,32.4,1246,101,92.9,92.10000000000001,0.8,Normal
25900,3.68,1.73,30.8,1171,111,90.4,91.5,1.1,Warning
26000,3.51,4.42,31.9,1239,110,94.4,93.5,0.9,Normal
26100,3.59,4.53,25.4,1126,001,85.5,82.5,3.0,Warning
26200,3.28,2.87,27.0,1128,011,99.5,98.9,0.6,Normal
26300,3.5,1.3,27.1,1370,100,98.9,98.4,0.5,Normal
26400,3.57,2.55,28.6,1273,111,99.0,97.2,1.8,Warning
26500,3.48,4.21,36.8,1352,101,90.5,89.2,1.3,Warning
26600,3.76,4.61,28.2,1159,011,93.0,94.2,1.2,Warning
26700,3.46,1.81,24.3,1206,100,99.3,99.5,0.2,Normal
26800,3.56,1.27,32.7,1319,000,98.5,95.2,3.3,Fault
26900,3.61,4.51,36.7,1358,000,96.9,95.9,1.0,Normal
27000,3.74,2.56,23.7,1245,010,91.1,92.1,1.0,Normal
27100,3.46,3.17,39.9,1151,001,93.5,93.3,0.2,Normal
27200,3.72,4.87,32.1,1159,000,96.9,99.10000000000001,2.2,Warning
27300,3.6,1.27,35.2,1133,110,89.1,91.39999999999999,2.3,Warning
27400,3.5,3.59,37.3,1195,100,94.4,92.4,2.0,Warning
27500,3.65,1.3,34.9,1188,011,97.4,96.9,0.5,Normal
27600,3.62,2.5,29.4,1330,101,95.6,94.3,1.3,Warning
27700,3.54,4.22,36.1,1374,011,92.2,90.0,2.2,Warning
27800,3.61,2.73,31.3,1345,010,93.8,92.8,1.0,Normal
27900,3.56,4.99,35.5,1210,111,99.8,98.2,1.6,Warning
28000,3.61,3.24,36.0,1333,011,94.0,93.1,0.9,Normal
28100,3.67,2.28,24.5,1377,000,96.8,94.39999999999999,2.4,Warning
28200,3.76,1.88,34.0,1265,011,95.9,92.7,3.2,Fault
28300,3.48,2.4,29.1,1227,000,95.5,94.7,0.8,Normal
28400,3.81,2.49,30.7,1336,000,95.7,95.0,0.7,Normal
28500,3.4,1.27,30.6,1390,001,91.8,90.8,1.0,Normal
28600,3.58,2.48,30.4,1206,010,92.1,91.8,0.3,Normal
28700,3.66,2.86,37.6,1227,110,92.0,92.1,0.1,Normal
28800,3.63,3.89,23.2,1294,110,85.5,83.4,2.1,Warning
28900,3.54,3.63,21.4,1242,100,88.6,88.69999999999999,0.1,Normal
29000,3.58,3.84,20.3,1210,110,87.3,87.5,0.2,Normal
29100,3.55,1.03,35.3,1189,000,98.3,96.5,1.8,Warning
29200,3.54,1.87,26.1,1350,101,89.1,87.1,2.0,Warning
29300,3.68,3.65,30.7,1379,010,87.1,83.1,4.0,Fault
29400,3.64,2.94,29.4,1323,100,86.8,84.5,2.3,Warning
29500,3.53,1.02,25.6,1200,110,95.5,93.8,1.7,Warning
29600,3.69,4.22,34.3,1231,110,85.1,83.1,2.0,Warning
29700,3.63,4.09,29.4,1112,101,92.1,91.8,0.3,Normal
29800,3.68,3.19,28.8,1197,011,86.8,85.5,1.3,Warning
29900,3.66,1.27,31.2,1219,010,97.7,96.3,1.4,Warning
30000,3.52,4.07,33.6,1392,101,99.4,99.7,0.3,Normal
30100,3.54,3.33,25.2,1298,110,99.4,99.0,0.4,Normal
30200,3.67,4.13,34.4,1100,010,91.6,89.69999999999999,1.9,Warning
30300,3.66,4.01,37.2,1159,010,94.7,94.2,0.5,Normal
30400,3.6,4.21,22.9,1349,110,94.0,92.6,1.4,Warning
30500,3.61,3.07,31.4,1239,011,90.3,88.5,1.8,Warning
30600,3.73,1.56,28.5,1248,011,91.7,89.9,1.8,Warning
30700,3.54,3.68,33.5,1143,110,86.0,82.9,3.1,Fault
30800,3.65,3.48,23.9,1285,010,96.9,97.30000000000001,0.4,Normal
30900,3.58,3.97,38.1,1207,101,88.6,85.6,3.0,Warning
31000,3.58,1.68,22.0,1143,001,91.9,90.7,1.2,Warning
31100,3.71,1.78,28.8,1177,000,92.2,90.4,1.8,Warning
31200,3.68,4.56,32.2,1325,011,93.4,91.9,1.5,Warning
31300,3.68,4.0,26.6,1261,110,97.3,95.8,1.5,Warning
31400,3.73,4.63,25.8,1380,111,95.4,95.9,0.5,Normal
31500,3.6,4.03,31.1,1352,001,94.9,93.2,1.7,Warning
31600,3.67,3.39,30.4,1231,011,92.9,94.60000000000001,1.7,Warning
31700,3.57,3.62,30.0,1243,111,86.4,82.80000000000001,3.6,Fault
31800,3.63,4.56,34.3,1365,010,91.0,89.9,1.1,Warning
31900,3.59,3.32,28.0,1208,110,99.4,97.2,2.2,Warning
32000,3.61,3.53,31.6,1293,001,99.9,98.4,1.5,Warning
32100,3.66,1.63,27.5,1134,110,96.0,95.4,0.6,Normal
32200,3.52,2.9,25.8,1374,101,88.4,88.7,0.3,Normal
32300,3.81,3.87,28.6,1286,101,86.5,87.1,0.6,Normal
32400,3.5,2.08,27.5,1342,100,91.2,89.5,1.7,Warning
32500,3.48,1.81,27.8,1363,000,97.8,96.2,1.6,Warning
32600,3.72,2.26,35.8,1109,000,95.8,94.5,1.3,Warning
32700,3.68,1.97,28.7,1265,011,98.3,98.0,0.3,Normal
32800,3.66,1.86,26.7,1128,000,94.2,93.10000000000001,1.1,Warning
32900,3.66,2.7,30.1,1370,110,87.0,87.1,0.1,Normal
33000,3.6,4.63,30.5,1186,110,86.7,87.2,0.5,Normal
33100,3.51,3.03,24.1,1122,100,85.7,85.60000000000001,0.1,Normal
33200,3.61,1.75,28.5,1309,111,93.5,93.3,0.2,Normal
33300,3.53,1.31,28.3,1145,101,88.6,85.89999999999999,2.7,Warning
33400,3.7,3.78,29.1,1127,111,96.0,97.5,1.5,Warning
33500,3.59,2.53,33.6,1125,111,95.3,94.8,0.5,Normal
33600,3.52,4.29,30.7,1365,001,89.8,88.39999999999999,1.4,Warning
33700,3.57,3.64,36.1,1274,001,87.7,84.2,3.5,Fault
33800,3.64,4.18,29.9,1103,101,86.5,86.9,0.4,Normal
33900,3.54,2.09,38.9,1166,010,96.1,97.3,1.2,Warning
34000,3.52,3.77,27.7,1234,101,91.8,90.2,1.6,Warning
34100,3.62,2.06,26.2,1154,001,89.9,89.2,0.7,Normal
34200,3.62,4.76,32.7,1130,111,97.8,97.6,0.2,Normal
34300,3.55,3.55,36.8,1173,011,93.9,92.7,1.2,Warning
34400,3.55,2.3,23.1,1118,100,92.8,91.0,1.8,Warning
34500,3.62,2.08,29.0,1255,111,96.2,94.60000000000001,1.6,Warning
34600,3.46,1.76,26.9,1255,101,97.2,96.2,1.0,Normal
34700,3.46,3.78,30.7,1246,010,95.3,92.8,2.5,Warning
34800,3.53,1.87,30.1,1186,111,91.6,90.8,0.8,Normal
34900,3.58,3.38,36.7,1119,011,90.7,90.10000000000001,0.6,Normal
35000,3.63,2.06,29.5,1368,101,96.6,95.0,1.6,Warning
35100,3.75,3.65,36.9,1142,011,92.8,94.2,1.4,Warning
35200,3.69,4.26,28.4,1127,111,95.6,94.19999999999999,1.4,Warning
35300,3.58,4.11,34.6,1359,101,98.4,98.4,0.0,Normal
35400,3.6,4.04,31.1,1121,011,98.7,100.2,1.5,Warning
35500,3.5,1.75,38.6,1200,110,89.2,88.10000000000001,1.1,Warning
35600,3.6,1.35,22.6,1138,000,87.8,88.0,0.2,Normal
35700,3.57,3.8,24.2,1389,011,88.9,90.80000000000001,1.9,Warning
35800,3.63,2.47,39.2,1399,110,96.3,97.1,0.8,Normal
35900,3.52,2.73,26.3,1269,111,90.6,87.6,3.0,Warning
36000,3.65,1.12,26.7,1395,000,87.6,87.89999999999999,0.3,Normal
36100,3.75,2.04,25.6,1229,001,86.5,85.5,1.0,Normal
36200,3.59,1.13,35.7,1255,000,89.9,91.0,1.1,Warning
36300,3.64,4.52,23.7,1173,011,87.0,83.3,3.7,Fault
36400,3.67,1.97,30.1,1189,100,87.3,86.7,0.6,Normal
36500,3.56,3.23,28.7,1166,100,95.3,95.8,0.5,Normal
36600,3.62,1.16,35.2,1335,001,85.3,83.5,1.8,Warning
36700,3.6,3.67,27.2,1299,011,86.8,83.2,3.6,Fault
36800,3.61,2.29,32.1,1326,000,97.7,97.8,0.1,Normal
36900,3.52,4.59,24.1,1332,100,97.7,98.3,0.6,Normal
37000,3.6,4.55,41.4,1365,101,89.9,86.0,3.9,Fault
37100,3.65,2.3,28.8,1185,010,86.3,86.0,0.3,Normal
37200,3.75,4.6,30.0,1201,011,95.6,95.5,0.1,Normal
37300,3.7,4.98,38.3,1313,110,90.4,93.10000000000001,2.7,Warning
37400,3.82,4.3,27.1,1207,110,85.7,85.3,0.4,Normal
37500,3.52,4.38,38.3,1264,101,87.4,88.9,1.5,Warning
